Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,Year,ERW,TSI_Both_Mskd,Above_TSI_Both_Rate
At Risk,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,395.0,373.0,354.0,768.0,<275,<150,48.3,<25,1.5,2015,,,
Not At Risk,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,430.0,417.0,394.0,846.0,<425,<275,66.7,<25,6.3,2015,,,
Missing At Risk,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,433.0,433.0,370.0,865.0,"=""5""","=""4""",,"=""0""",,2015,,,
LEP/ELL,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not LEP/ELL,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,419.0,403.0,381.0,821.0,<675,<425,61.9,<25,4.7,2015,,,
Missing LEP/ELL,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""5""","=""0""",,"=""0""",,2015,,,
Immigrant,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Immigrant,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,418.0,402.0,381.0,821.0,<675,<400,59.4,<25,4.8,2015,,,
Missing Immigrant,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,433.0,433.0,370.0,865.0,"=""5""","=""4""",,"=""0""",,2015,,,
Migrant,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Migrant,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,419.0,403.0,381.0,821.0,<675,<425,59.9,<25,4.7,2015,,,
Missing Migrant,"=""057906""",Desoto ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""5""","=""0""",,"=""0""",,2015,,,
All Students,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,440.0,437.0,422.0,878.0,<875,<500,57.2,<50,9.7,2015,,,
African American,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,424.0,417.0,406.0,841.0,<425,<275,63.1,<25,4.3,2015,,,
American Indian,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,100.0,<25,100.0,2015,,,
Asian,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,464.0,459.0,425.0,923.0,<25,<25,75.0,<25,13.3,2015,,,
Hispanic,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,443.0,440.0,426.0,883.0,<375,<175,48.1,<25,9.2,2015,,,
Pacific Islander,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
White,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,520.0,540.0,507.0,1059.0,<75,<50,67.2,<25,41.0,2015,,,
Multiracial,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,485.0,570.0,505.0,1055.0,<25,<25,50.0,<25,50.0,2015,,,
Missing Ethnicity,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Economically Disadvantaged,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,433.0,426.0,411.0,860.0,<600,<350,56.2,<25,7.4,2015,,,
Not Economically Disadvantaged,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,455.0,460.0,446.0,915.0,<275,<175,59.6,<25,14.3,2015,,,
Missing Econ,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Female,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,433.0,435.0,426.0,868.0,<450,<300,64.1,<25,6.8,2015,,,
Male,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,450.0,440.0,417.0,890.0,<425,<225,50.1,<50,13.4,2015,,,
Missing Gender,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Bil/ESL,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,393.0,359.0,334.0,751.0,<25,<25,35.0,<25,,2015,,,
Not Bil/ESL,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,441.0,439.0,424.0,880.0,<850,<500,57.8,<50,9.8,2015,,,
Missing Bil/ESL,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""1""","=""0""",,"=""0""",,2015,,,
CTE,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,443.0,436.0,422.0,879.0,<475,<300,61.9,<50,9.3,2015,,,
Not CTE,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,438.0,439.0,423.0,877.0,<400,<225,52.1,<25,10.1,2015,,,
Missing CTE,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Gifted,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,534.0,545.0,513.0,1079.0,<75,<50,88.5,<25,39.1,2015,,,
Not Gifted,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,431.0,426.0,413.0,857.0,<800,<450,55.3,<50,6.6,2015,,,
Missing Gifted,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Special Ed,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,288.0,286.0,278.0,574.0,<100,<25,6.4,<25,,2015,,,
Not Special Ed,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,442.0,439.0,424.0,881.0,<775,<500,62.4,<50,9.8,2015,,,
Missing Special Ed,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""1""","=""0""",,"=""0""",,2015,,,
Title1,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,413.0,377.0,393.0,790.0,<25,<25,50.0,<25,,2015,,,
Not Title1,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,441.0,438.0,422.0,878.0,<850,<500,57.3,<50,9.7,2015,,,
Missing Title1,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""1""","=""0""",,"=""0""",,2015,,,
At Risk,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,404.0,396.0,387.0,800.0,<625,<300,48.3,<25,1.4,2015,,,
Not At Risk,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,496.0,500.0,476.0,996.0,<250,<200,78.2,<50,22.2,2015,,,
Missing At Risk,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,335.0,370.0,300.0,705.0,<25,<25,,<25,,2015,,,
LEP/ELL,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,399.0,374.0,343.0,773.0,<50,<25,34.6,<25,,2015,,,
Not LEP/ELL,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,441.0,439.0,424.0,880.0,<825,<500,58.0,<50,9.8,2015,,,
Missing LEP/ELL,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""1""","=""0""",,"=""0""",,2015,,,
Immigrant,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,100.0,<25,,2015,,,
Not Immigrant,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,441.0,438.0,423.0,879.0,<850,<500,57.0,<50,9.7,2015,,,
Missing Immigrant,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,335.0,370.0,300.0,705.0,"=""1""","=""2""",,"=""0""",,2015,,,
Migrant,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Migrant,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,440.0,437.0,422.0,878.0,<875,<500,57.3,<50,9.7,2015,,,
Missing Migrant,"=""057907""",Duncanville ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""1""","=""0""",,"=""0""",,2015,,,
All Students,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,483.0,474.0,455.0,957.0,"=""3941""","=""2027""",51.4,"=""433""",21.4,2015,,,
African American,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,431.0,435.0,416.0,865.0,"=""706""","=""448""",63.5,"=""42""",9.4,2015,,,
American Indian,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,490.0,479.0,488.0,969.0,<25,<25,34.8,<25,25.0,2015,,,
Asian,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,532.0,499.0,480.0,1031.0,"=""366""","=""246""",67.2,"=""85""",34.6,2015,,,
Hispanic,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,461.0,451.0,433.0,912.0,"=""1734""","=""689""",39.7,"=""87""",12.6,2015,,,
Pacific Islander,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,486.0,436.0,460.0,922.0,<25,<25,55.6,<25,40.0,2015,,,
White,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,525.0,517.0,497.0,1042.0,"=""1029""","=""592""",57.5,"=""200""",33.8,2015,,,
Multiracial,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,518.0,515.0,480.0,1033.0,<75,<50,52.7,<25,38.5,2015,,,
Missing Ethnicity,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Economically Disadvantaged,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,457.0,445.0,426.0,902.0,"=""1951""","=""870""",44.6,"=""112""",12.9,2015,,,
Not Economically Disadvantaged,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,502.0,495.0,476.0,998.0,"=""1984""","=""1154""",58.2,"=""320""",27.7,2015,,,
Missing Econ,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,523.0,523.0,473.0,1047.0,"=""6""","=""3""",,"=""1""",33.3,2015,,,
Female,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,470.0,470.0,459.0,940.0,"=""1985""","=""1131""",57.0,"=""214""",18.9,2015,,,
Male,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,499.0,479.0,449.0,978.0,"=""1956""","=""896""",45.8,"=""219""",24.4,2015,,,
Missing Gender,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Bil/ESL,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,426.0,372.0,348.0,798.0,<150,<50,24.2,<25,3.2,2015,,,
Not Bil/ESL,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,484.0,475.0,456.0,959.0,<3825,<2000,52.4,<450,21.6,2015,,,
Missing Bil/ESL,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,523.0,523.0,473.0,1047.0,"=""6""","=""3""",,"=""1""",33.3,2015,,,
CTE,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,475.0,466.0,446.0,941.0,"=""1433""","=""790""",55.1,"=""123""",15.6,2015,,,
Not CTE,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,488.0,479.0,460.0,966.0,"=""2502""","=""1234""",49.3,"=""309""",25.0,2015,,,
Missing CTE,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,523.0,523.0,473.0,1047.0,"=""6""","=""3""",,"=""1""",33.3,2015,,,
Gifted,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,586.0,569.0,549.0,1155.0,"=""344""","=""275""",79.9,"=""167""",60.7,2015,,,
Not Gifted,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,466.0,459.0,440.0,925.0,"=""3591""","=""1749""",48.7,"=""265""",15.2,2015,,,
Missing Gifted,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,523.0,523.0,473.0,1047.0,"=""6""","=""3""",,"=""1""",33.3,2015,,,
Special Ed,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,367.0,357.0,342.0,724.0,<275,<50,11.1,<25,3.3,2015,,,
Not Special Ed,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,484.0,476.0,456.0,960.0,"=""3664""","=""1994""",54.4,"=""431""",21.6,2015,,,
Missing Special Ed,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,523.0,523.0,473.0,1047.0,<25,<25,,<25,33.3,2015,,,
Title1,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,483.0,474.0,455.0,956.0,<3950,<2025,51.5,<450,21.3,2015,,,
Not Title1,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,25.0,<25,100.0,2015,,,
Missing Title1,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,523.0,523.0,473.0,1047.0,"=""6""","=""3""",,"=""1""",33.3,2015,,,
At Risk,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,424.0,415.0,398.0,839.0,"=""2345""","=""934""",39.8,"=""42""",4.5,2015,,,
Not At Risk,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,533.0,524.0,504.0,1057.0,"=""1590""","=""1088""",68.4,"=""390""",35.8,2015,,,
Missing At Risk,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,494.0,500.0,444.0,994.0,"=""6""","=""5""",,"=""1""",20.0,2015,,,
LEP/ELL,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,422.0,379.0,355.0,802.0,<175,<50,24.3,<25,2.7,2015,,,
Not LEP/ELL,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,484.0,476.0,457.0,959.0,<3800,<2000,52.5,<450,21.7,2015,,,
Missing LEP/ELL,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,523.0,523.0,473.0,1047.0,"=""6""","=""3""",,"=""1""",33.3,2015,,,
Immigrant,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,485.0,408.0,399.0,893.0,<50,<25,61.8,<25,14.3,2015,,,
Not Immigrant,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,483.0,474.0,455.0,957.0,"=""3901""","=""2001""",51.3,"=""429""",21.4,2015,,,
Missing Immigrant,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,494.0,500.0,444.0,994.0,<25,<25,,<25,20.0,2015,,,
Migrant,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Migrant,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,483.0,474.0,455.0,956.0,<3950,<2025,51.4,<450,21.3,2015,,,
Missing Migrant,"=""057909""",Garland ISD,"=""057""",Dallas County,"=""10""",Richardson,523.0,523.0,473.0,1047.0,"=""6""","=""3""",,"=""1""",33.3,2015,,,
All Students,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,428.0,396.0,395.0,824.0,"=""1734""","=""1621""",93.5,"=""113""",7.0,2015,,,
African American,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,412.0,392.0,390.0,804.0,"=""295""","=""268""",90.8,"=""14""",5.2,2015,,,
American Indian,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,420.0,413.0,406.0,833.0,<25,<25,100.0,<25,,2015,,,
Asian,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,514.0,467.0,454.0,981.0,"=""80""","=""82""",100.0,"=""21""",25.6,2015,,,
Hispanic,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,415.0,378.0,381.0,793.0,"=""1112""","=""1023""",92.0,"=""41""",4.0,2015,,,
Pacific Islander,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,505.0,520.0,445.0,1025.0,<25,<25,100.0,<25,50.0,2015,,,
White,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,469.0,454.0,439.0,923.0,"=""212""","=""213""",100.0,"=""33""",15.5,2015,,,
Multiracial,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,477.0,457.0,445.0,933.0,<50,<50,100.0,<25,11.5,2015,,,
Missing Ethnicity,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Economically Disadvantaged,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,415.0,379.0,382.0,794.0,"=""1125""","=""1061""",94.3,"=""44""",4.1,2015,,,
Not Economically Disadvantaged,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,453.0,429.0,420.0,882.0,"=""607""","=""560""",92.3,"=""69""",12.3,2015,,,
Missing Econ,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
Female,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,420.0,401.0,407.0,822.0,"=""854""","=""815""",95.4,"=""48""",5.9,2015,,,
Male,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,436.0,392.0,383.0,827.0,"=""880""","=""806""",91.6,"=""65""",8.1,2015,,,
Missing Gender,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Bil/ESL,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,368.0,317.0,335.0,686.0,<200,<200,99.5,<25,,2015,,,
Not Bil/ESL,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,436.0,407.0,403.0,843.0,<1550,<1450,92.9,<125,7.9,2015,,,
Missing Bil/ESL,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
CTE,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,437.0,402.0,402.0,839.0,"=""717""","=""688""",96.0,"=""39""",5.7,2015,,,
Not CTE,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,421.0,392.0,390.0,814.0,"=""1015""","=""933""",91.9,"=""74""",7.9,2015,,,
Missing CTE,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
Gifted,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,556.0,516.0,496.0,1071.0,"=""196""","=""199""",100.0,"=""74""",37.2,2015,,,
Not Gifted,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,410.0,380.0,381.0,790.0,"=""1536""","=""1422""",92.6,"=""39""",2.7,2015,,,
Missing Gifted,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
Special Ed,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,321.0,291.0,301.0,612.0,<150,<75,51.8,<25,1.4,2015,,,
Not Special Ed,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,433.0,401.0,399.0,834.0,"=""1593""","=""1549""",97.2,"=""112""",7.2,2015,,,
Missing Special Ed,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Title1,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,401.0,373.0,370.0,775.0,"=""588""","=""537""",91.3,"=""20""",3.7,2015,,,
Not Title1,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,441.0,408.0,407.0,849.0,"=""1144""","=""1084""",94.8,"=""93""",8.6,2015,,,
Missing Title1,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
At Risk,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,389.0,356.0,361.0,745.0,"=""925""","=""899""",97.2,"=""19""",2.1,2015,,,
Not At Risk,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,477.0,447.0,438.0,924.0,"=""807""","=""717""",88.8,"=""94""",13.1,2015,,,
Missing At Risk,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,382.0,376.0,360.0,758.0,"=""2""","=""5""",,"=""0""",,2015,,,
LEP/ELL,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,366.0,317.0,334.0,683.0,<250,<225,88.8,<25,,2015,,,
Not LEP/ELL,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,437.0,408.0,404.0,846.0,<1500,<1425,94.4,<125,8.0,2015,,,
Missing LEP/ELL,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
Immigrant,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,398.0,345.0,355.0,743.0,<25,<25,100.0,<25,6.7,2015,,,
Not Immigrant,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,428.0,397.0,396.0,825.0,<1725,<1625,93.2,<125,7.0,2015,,,
Missing Immigrant,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,382.0,376.0,360.0,758.0,"=""2""","=""5""",,"=""0""",,2015,,,
Migrant,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,100.0,<25,,2015,,,
Not Migrant,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,428.0,397.0,395.0,824.0,<1750,<1625,93.6,<125,7.0,2015,,,
Missing Migrant,"=""057910""",Grand Prairie ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""2""","=""0""",,"=""0""",,2015,,,
All Students,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,614.0,598.0,578.0,1212.0,"=""534""","=""333""",62.4,"=""240""",72.1,2015,,,
African American,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,100.0,<25,,2015,,,
American Indian,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,595.0,515.0,500.0,1110.0,<25,<25,100.0,<25,50.0,2015,,,
Asian,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,706.0,664.0,630.0,1370.0,"=""21""","=""21""",100.0,"=""18""",85.7,2015,,,
Hispanic,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,579.0,545.0,525.0,1125.0,"=""31""","=""13""",41.9,"=""6""",46.2,2015,,,
Pacific Islander,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,100.0,<25,,2015,,,
White,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,610.0,595.0,576.0,1205.0,"=""473""","=""291""",61.5,"=""211""",72.5,2015,,,
Multiracial,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,675.0,670.0,660.0,1345.0,<25,<25,80.0,<25,100.0,2015,,,
Missing Ethnicity,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Economically Disadvantaged,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Economically Disadvantaged,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,615.0,598.0,578.0,1213.0,<550,<350,62.2,<250,72.3,2015,,,
Missing Econ,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""1""",,"=""0""",,2015,,,
Female,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,603.0,599.0,592.0,1202.0,"=""279""","=""162""",58.1,"=""112""",69.1,2015,,,
Male,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,625.0,596.0,564.0,1221.0,"=""255""","=""171""",67.1,"=""128""",74.9,2015,,,
Missing Gender,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Bil/ESL,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Not Bil/ESL,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,615.0,598.0,578.0,1213.0,<550,<350,62.6,<250,72.3,2015,,,
Missing Bil/ESL,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""1""",,"=""0""",,2015,,,
CTE,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,603.0,576.0,583.0,1180.0,"=""75""","=""44""",58.7,"=""31""",70.5,2015,,,
Not CTE,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,617.0,601.0,577.0,1218.0,"=""459""","=""288""",62.7,"=""209""",72.6,2015,,,
Missing CTE,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""1""",,"=""0""",,2015,,,
Gifted,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,706.0,691.0,666.0,1397.0,"=""89""","=""75""",84.3,"=""75""",100.0,2015,,,
Not Gifted,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,589.0,571.0,552.0,1159.0,"=""445""","=""257""",57.8,"=""165""",64.2,2015,,,
Missing Gifted,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""1""",,"=""0""",,2015,,,
Special Ed,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,480.0,463.0,428.0,943.0,<25,<25,39.1,<25,22.2,2015,,,
Not Special Ed,"=""057911""",Highland Park ISD,"=""057""",Dallas County,"=""10""",Richardson,619.0,602.0,582.0,1220.0,"=""511""","=""323""",63.2,"=""238""",73.7,2015,,,
