Region,County,District,District Name, Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay,Year
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,PHYSICAL THERAPIST,6.00,400455,66745,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SCHOOL NURSE,85.00,4837387,56911,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SOCIAL WORKER,7.00,467240,66749,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SPEECH THRPST/SPEECH-LANG PATH,56.10,3370063,60072,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,TEACHER FACILITATOR,117.27,7579085,64632,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,TRUANT OFF/VISIT TEACHER,3.00,252659,84220,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,TOTAL SUPPORT STAFF,800.93,54946159,68603,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ASSISTANT PRINCIPAL,116.00,9670937,83370,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ASST/ASSOC/DEPUTY SUPERINTEND.,5.00,917282,183456,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ATHLETIC DIRECTOR,2.00,270899,135450,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,BUSINESS MANAGER,1.00,121947,121947,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,DIR -PERSONNEL/HUMAN RESOURCES,4.00,512122,128031,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,DIST INSTR PGM DIR OR EXC DIR,16.00,2060274,128767,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,PRINCIPAL,70.11,7114575,101479,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,REGISTRAR,2.00,56795,28398,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,282733,282733,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,TAX ASSESSOR AND/OR COLLECTOR,1.00,108186,108186,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,TEACHER SUPERVISOR,26.81,2325195,86722,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,TOTAL ADMINISTRATIVE STAFF,244.92,23440945,95708,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD, ,TOTAL PROFESSIONAL STAFF,4709.88,278516248,59134,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,PARAPROFESSIONAL STAFF,EDUCATIONAL AIDE,538.09,10260178,19068,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,PARAPROFESSIONAL STAFF,TOTAL PARAPROFESSIONAL STAFF,538.09,10260178,19068,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD,AUXILIARY,AUXILIARY,2044.72,50814819,24852,2015-2016
10,DALLAS COUNTY,57909.0,GARLAND ISD,TRADITIONAL ISD/CSD, ,TOTAL PERSONNEL,7292.69,339591245,46566,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,PRE-KINDERGARTEN,53.26,2776662,52134,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,KINDERGARTEN,105.02,5615080,53468,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,KINDERGARTEN/ELEMENTARY (K-6),35.08,1877979,53529,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ELEMENTARY (GRADES 1-6),24.37,1375930,56451,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,MIDDLE SCHOOL (GRADES 6 - 8),60.43,3206049,53054,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ALL GRADE LEVELS,78.90,4403089,55806,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,NOT APPLICABLE,7.50,471307,62870,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 1,127.68,6831890,53508,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 2,123.93,6580932,53100,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 3,127.04,6713253,52845,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 4,120.43,6419418,53303,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 5,112.31,6022770,53625,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 6,133.54,7228438,54128,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 7,111.04,5937865,53474,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 8,116.82,6226940,53304,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADES 9-12,605.54,33348009,55071,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1942.90,105035611,54061,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,COUNSELOR,68.47,4228868,61766,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,EDUCATIONAL DIAGNOSTICIAN,33.28,2228438,66965,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,LIBRARIAN,4.36,273669,62758,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,LSSP/PSYCHOLOGIST,12.79,723349,56576,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,OCCUPATIONAL THERAPIST,6.00,335298,55883,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,ORIENTATN/MOBILITY SPEC (COMS),1.00,54086,54081,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,OTHER CAMP PROF PERSONNEL,58.62,3510450,59884,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,OTHR NON-INSTR DISTRICT,59.05,5123439,86759,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,PHYSICAL THERAPIST,1.00,6002,6001,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SCHOOL NURSE,40.33,2261038,56061,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SOCIAL WORKER,6.95,383981,55234,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SPEECH THRPST/SPEECH-LANG PATH,30.29,1677477,55379,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,TEACHER FACILITATOR,49.00,3395839,69303,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,TOTAL SUPPORT STAFF,371.14,24201934,65210,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ASSISTANT PRINCIPAL,78.05,5452953,69861,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ASST/ASSOC/DEPUTY SUPERINTEND.,8.94,1452724,162475,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ATHLETIC DIRECTOR,1.00,135000,135000,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,DIR -PERSONNEL/HUMAN RESOURCES,3.00,332200,110733,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,DIST INSTR PGM DIR OR EXC DIR,11.15,1053711,94463,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,PRINCIPAL,36.17,3498414,96731,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,365795,365795,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,TEACHER SUPERVISOR,54.94,3253458,59216,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,TOTAL ADMINISTRATIVE STAFF,194.26,15544255,80018,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD, ,TOTAL PROFESSIONAL STAFF,2508.30,144781800,57721,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,PARAPROFESSIONAL STAFF,EDUCATIONAL AIDE,308.28,6566420,21300,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,PARAPROFESSIONAL STAFF,TOTAL PARAPROFESSIONAL STAFF,308.28,6566420,21300,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,AUXILIARY,AUXILIARY,945.78,23918142,25289,2015-2016
10,DALLAS COUNTY,57910.0,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD, ,TOTAL PERSONNEL,3762.36,175266362,46584,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,KINDERGARTEN,35.10,1979510,56393,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ELEMENTARY (GRADES 1-6),10.58,641945,60666,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,MIDDLE SCHOOL (GRADES 6 - 8),13.97,885809,63389,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ALL GRADE LEVELS,39.44,2075987,52632,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,NOT APPLICABLE,3.81,232854,61104,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 1,28.56,1602079,56098,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 2,29.24,1622467,55497,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 3,29.43,1633998,55514,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 4,32.58,1780314,54648,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 5,21.54,1219620,56617,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 6,20.86,1204448,57735,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 7,16.15,946921,58616,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 8,15.39,896704,58257,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADES 9-12,170.38,10272658,60291,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,467.05,26995314,57799,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,ATHLETIC TRAINER,1.77,119216,67483,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,COUNSELOR,16.06,1141088,71033,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,DEPARTMENT HEAD,1.00,99298,99298,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,EDUCATIONAL DIAGNOSTICIAN,3.96,306768,77416,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,LIBRARIAN,6.00,355895,59268,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,LSSP/PSYCHOLOGIST,5.00,316454,63291,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,MUSIC THERAPIST,1.00,43856,43852,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,OCCUPATIONAL THERAPIST,2.00,137110,68558,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,OTHER CAMP PROF PERSONNEL,1.40,57501,41072,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,OTHR NON-INSTR DISTRICT,19.42,1637621,84341,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,PHYSICAL THERAPIST,1.00,74058,74058,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,RECREATIONAL THERAPIST,1.00,59486,59486,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SCHOOL NURSE,9.00,426525,47392,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SPEECH THRPST/SPEECH-LANG PATH,10.00,586998,58700,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,TEACHER FACILITATOR,1.24,81708,66000,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,TOTAL SUPPORT STAFF,79.85,5443582,68170,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ASSISTANT PRINCIPAL,5.67,511228,90154,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ASST/ASSOC/DEPUTY SUPERINTEND.,2.00,351840,175920,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ATHLETIC DIRECTOR,1.00,121095,121095,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,BUSINESS MANAGER,1.00,122348,122348,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,DIR -PERSONNEL/HUMAN RESOURCES,1.00,123539,123539,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,DIST INSTR PGM DIR OR EXC DIR,1.00,96749,96749,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,PRINCIPAL,6.00,764676,127446,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,339668,339668,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,TEACHER SUPERVISOR,10.14,722800,71262,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,TOTAL ADMINISTRATIVE STAFF,28.81,3153943,109461,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD, ,TOTAL PROFESSIONAL STAFF,575.72,35592839,61823,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,PARAPROFESSIONAL STAFF,EDUCATIONAL AIDE,82.78,2210905,26710,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,PARAPROFESSIONAL STAFF,TOTAL PARAPROFESSIONAL STAFF,82.78,2210905,26710,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD,AUXILIARY,AUXILIARY,124.19,4027182,32429,2015-2016
10,DALLAS COUNTY,57911.0,HIGHLAND PARK ISD,TRADITIONAL ISD/CSD, ,TOTAL PERSONNEL,782.68,41830926,53446,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,PRE-KINDERGARTEN,61.96,3444749,55596,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,KINDERGARTEN,151.27,8216884,54319,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ELEMENTARY (GRADES 1-6),37.67,2130128,56546,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,MIDDLE SCHOOL (GRADES 6 - 8),79.55,4446594,55898,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ALL GRADE LEVELS,39.94,1215757,30441,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 1,154.65,8420235,54446,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 2,160.44,8885563,55381,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 3,165.39,8986508,54335,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 4,167.40,9117768,54466,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 5,151.91,8333065,54854,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 6,151.46,8312338,54881,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 7,128.72,6980215,54229,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 8,104.87,5753715,54863,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADES 9-12,728.76,40770559,55945,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2284.00,125014078,54735,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,ATHLETIC TRAINER,2.91,152164,52306,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,COUNSELOR,88.26,5652019,64037,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,DEPARTMENT HEAD,5.08,318658,62725,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,EDUCATIONAL DIAGNOSTICIAN,39.85,2597256,65175,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,LIBRARIAN,29.00,1751009,60380,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,LSSP/PSYCHOLOGIST,9.60,582935,60722,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,OCCUPATIONAL THERAPIST,5.45,358198,65670,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,OTHER CAMP PROF PERSONNEL,64.98,3650881,56188,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,OTHR NON-INSTR DISTRICT,93.41,7422074,79460,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,PHYSICAL THERAPIST,3.00,188221,62740,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SCHOOL NURSE,38.00,2136643,56227,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SOCIAL WORKER,2.00,127851,63926,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SPEECH THRPST/SPEECH-LANG PATH,38.38,2189060,57039,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,TEACHER FACILITATOR,76.78,4360865,56796,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,TOTAL SUPPORT STAFF,496.70,31487834,63394,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ASSISTANT PRINCIPAL,70.24,5087733,72438,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ASST/ASSOC/DEPUTY SUPERINTEND.,4.00,606252,151563,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,ATHLETIC DIRECTOR,1.00,120205,120205,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,DIR -PERSONNEL/HUMAN RESOURCES,2.00,245431,122716,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,DIST INSTR PGM DIR OR EXC DIR,14.00,1556514,111180,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,PRINCIPAL,37.00,3813774,103075,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,257500,257500,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,TAX ASSESSOR AND/OR COLLECTOR,3.00,182377,60792,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,TEACHER SUPERVISOR,37.69,3019923,80126,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD,ADMINISTRATIVE STAFF,TOTAL ADMINISTRATIVE STAFF,169.93,14889709,87625,2015-2016
10,DALLAS COUNTY,57912.0,IRVING ISD,TRADITIONAL ISD/CSD, ,TOTAL PROFESSIONAL STAFF,2950.63,171391621,58086,2015-2016
